"Feed Pro","Feed Pro"
"Server Configurations","Server Configurations"
"Memory Limit, Mb","Memory Limit, Mb"
"Max Upload File Size, Mb","Max Upload File Size, Mb"
"Max Post Size, Mb","Max Post Size, Mb"
"Execution time, seconds","Execution time, seconds"
"If set to zero, no time limit is imposed.","If set to zero, no time limit is imposed."
"Image Settings","Image Settings"
"Resize Image","Resize Image"
"Max Image Width, px","Max Image Width, px"
"Max Image Height, px","Max Image Height, px"
"Feed Pro Notifications","Feed Pro Notifications"
Enabled,Enabled
"Email Receiver","Email Receiver"
"Email Sender","Email Sender"
"Email Template","Email Template"
"Notify About","Notify About"
Errors,Errors
"File Successfully Generated","File Successfully Generated"
"File Successfully Uploaded","File Successfully Uploaded"
"Send Email Copy To","Send Email Copy To"
"Send Email Copy Method","Send Email Copy Method"
"Manage Dynamic Attributes","Manage Dynamic Attributes"
"Edit Dynamic Attribute '%1'","Edit Dynamic Attribute '%1'"
"New Dynamic Attribute","New Dynamic Attribute"
"Attribute Information","Attribute Information"
Code,Code
"For internal use. Must be unique with no spaces","For internal use. Must be unique with no spaces"
"Conditions and Values","Conditions and Values"
"Manage Feeds","Manage Feeds"
"Edit Feed '%1'","Edit Feed '%1'"
"New Feed","New Feed"
"Feed Information","Feed Information"
"Access Url","Access Url"
"File Name","File Name"
"File Name Extension","File Name Extension"
"Last Generated","Last Generated"
"Generation Time","Generation Time"
"Last Uploaded","Last Uploaded"
"Content Settings","Content Settings"
"Show Header","Show Header"
Enclosure,Enclosure
Delimiter,Delimiter
"Suffix Delimiter","Suffix Delimiter"
"Use Addition Header","Use Addition Header"
"Addition Header","Addition Header"
"Catalog, Search","Catalog, Search"
"Not Use Option","Not Use Option"
"Not Visible Individually","Not Visible Individually"
Catalog,Catalog
Search,Search
"Only Catalog","Only Catalog"
"Only Search","Only Search"
"In progress","In progress"
"Completed","Completed"
Failed,Failed
Stopped,Stopped
"FTP / FTPS","FTP / FTPS"
"SFTP (SSH)","SFTP (SSH)"
"Strip Tags","Strip Tags"
"Encode special chars","Encode special chars"
"Decode special chars","Decode special chars"
"Encode html special chars","Encode html special chars"
"Delete Space","Delete Space"
"Big to small","Big to small"
"greater than or equal to","greater than or equal to"
"less than or equal to","less than or equal to"
"File Successfully Generated","File Successfully Generated"
"File Successfully Uploaded","File Successfully Uploaded"
"Static Value","Static Value"
"Percent from value","Percent from value"
"Configurable values","Configurable values"
" output isn\'t supported", " output isn\'t supported"
"You generated the feed.","You generated the feed."
"Attribute code is required.","Attribute code is required."
